date,confirmed,deaths,new_confirmed,new_deaths,new_confirmed_7dma,new_deaths_7dma,cfr
2020-01-22,557,17,0,0,0.0,0.0,0.03052064631956912
2020-01-23,657,18,100,1,50.0,0.5,0.0273972602739726
2020-01-24,944,26,287,8,129.0,3.0,0.02754237288135593
2020-01-25,1437,42,493,16,220.0,6.25,0.029227557411273485
2020-01-26,2120,56,683,14,312.59999999999997,7.8,0.026415094339622643
2020-01-27,2929,82,809,26,395.33333333333337,10.833333333333334,0.02799590303857972
2020-01-28,5580,131,2651,49,717.5714285714286,16.285714285714285,0.023476702508960574
2020-01-29,6169,133,589,2,801.7142857142858,16.571428571428573,0.02155940995299076
2020-01-30,8237,172,2068,39,1082.857142857143,22.0,0.020881388855165717
2020-01-31,9927,214,1690,42,1283.2857142857144,26.857142857142858,0.021557368792182934
2020-02-01,12038,260,2111,46,1514.4285714285716,31.142857142857142,0.02159827213822894
2020-02-02,16787,364,4749,104,2095.285714285714,44.0,0.021683445523321618
2020-02-03,19887,428,3100,64,2422.5714285714284,49.42857142857143,0.02152159702318097
2020-02-04,23899,494,4012,66,2617.0,51.85714285714286,0.02067032093393029
2020-02-05,27644,566,3745,72,3067.857142857143,61.85714285714286,0.020474605701056286
2020-02-06,30806,636,3162,70,3224.1428571428573,66.28571428571429,0.020645328832045704
2020-02-07,34400,721,3594,85,3496.142857142857,72.42857142857143,0.020959302325581394
2020-02-08,37131,808,2731,87,3584.7142857142862,78.28571428571429,0.021760792868492633
2020-02-09,40162,908,3031,100,3339.2857142857147,77.71428571428571,0.02260843583486878
2020-02-10,42771,1015,2609,107,3269.142857142857,83.85714285714286,0.02373103270907858
2020-02-11,44814,1115,2043,100,2987.8571428571427,88.71428571428571,0.02488061766412282
2020-02-12,45232,1120,418,5,2512.571428571429,79.14285714285714,0.024761230986911922
2020-02-13,60384,1373,15152,253,4225.428571428572,105.28571428571428,0.022737811340752517
2020-02-14,66912,1525,6528,152,4644.571428571428,114.85714285714285,0.022791128646580585
2020-02-15,69055,1668,2143,143,4560.571428571428,122.85714285714286,0.024154659329519948
2020-02-16,71238,1772,2183,104,4439.428571428572,123.42857142857143,0.02487436480530054
2020-02-17,73273,1870,2035,98,4357.428571428571,122.14285714285714,0.02552099682011109
2020-02-18,75155,2010,1882,140,4334.428571428571,127.85714285714286,0.02674472756303639
2020-02-19,75655,2125,500,115,4346.142857142857,143.57142857142858,0.028088031194236997
